,UMI,GENE,sample,methods,tissue
183,22148,6635,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
184,7993,3822,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
185,11728,4553,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
186,10168,4370,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
187,10103,4468,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
188,5257,3004,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
189,19034,6176,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
190,15060,5489,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
191,29399,7497,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
192,15214,5529,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
193,7129,3588,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
194,15314,5589,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
195,5553,2934,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
196,12058,4528,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
197,12274,4927,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
198,12283,4587,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
199,5783,2728,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
200,22150,6725,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
201,11897,4847,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
202,38179,8268,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
203,8084,3574,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
204,19731,6190,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
205,6627,3334,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
206,9428,4163,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
207,8324,3910,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
208,5270,2909,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
209,13520,4896,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
210,1441,893,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
211,10034,4284,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
212,6992,3439,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
213,22216,6647,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
214,4932,2477,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
215,11975,4736,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
216,3224,1862,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
217,4582,2436,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
218,3349,1794,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
219,1196,829,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
220,11366,4724,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
221,36939,7856,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
222,13732,5140,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
223,7684,3661,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
224,20934,6265,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
225,4506,2551,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
226,13905,4822,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
227,28686,7317,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
228,5679,2639,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
229,41881,8791,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
230,15756,5600,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
231,53583,9286,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
232,12136,4763,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
233,30947,7846,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
234,8627,4093,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
235,12847,4957,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
