,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020307,6.78822,6.695154181028686,6.797611409339603,6.715378799439692
ENSMUSG00000020308,6.915449,6.871072996559158,7.120999702233855,7.095859239057845
ENSMUSG00000020309,6.0256844,6.048674135921564,6.109601049476014,6.167512716170296
ENSMUSG00000020311,5.79818,5.7336085909525165,5.939256833301555,6.001963062085747
ENSMUSG00000020312,5.198597,5.483376414446892,5.602839609214437,5.630615800503335
ENSMUSG00000020315,8.347798,8.364122933582257,8.643105249635244,8.673392329754723
ENSMUSG00000020319,4.6530547,4.77122610019705,5.076280513865702,5.329818739377389
ENSMUSG00000020321,8.045276,8.058150675327909,8.19348628832569,8.270052574137228
ENSMUSG00000020325,3.3314137,3.95222236963093,3.5472827435668086,3.622623965038484
ENSMUSG00000020326,6.039325,6.1262119740498,6.409519643669217,6.4534351471182925
ENSMUSG00000020328,5.9718165,6.110320953977958,6.21101283705608,6.225311959695101
ENSMUSG00000020329,5.5696964,5.684442606481438,5.773224287779989,5.881016036285419
ENSMUSG00000020330,3.7233467,4.190373380782967,3.9808652918472665,4.261964929935595
ENSMUSG00000020331,5.552845,5.580397304749941,5.797462520138958,5.854219602738466
ENSMUSG00000020332,4.046054,4.221565075074039,3.994004211042256,4.435051217602107
ENSMUSG00000020333,6.252321,6.514278207030501,6.605449217223926,6.6855295040141804
ENSMUSG00000020334,6.1680183,6.3311945634386575,5.626348225871867,5.893471236012022
ENSMUSG00000020335,3.8467844,4.017284601093453,4.133586145953206,4.152543387822977
ENSMUSG00000020340,7.3745737,7.4958508696860715,7.798138886631087,7.884231565708697
ENSMUSG00000020346,5.9867744,6.209605248566441,6.3899133175873635,6.531263960791686
ENSMUSG00000020349,8.469905,8.505171710375572,8.735753207488509,8.784595076269005
ENSMUSG00000020354,4.980929,5.172893106538817,5.380418477654833,5.662536323014669
ENSMUSG00000020357,3.1131585,3.824129808863886,3.655265574732276,4.062517565206337
ENSMUSG00000020358,8.874533,8.910685214647561,9.111633884367315,9.207570817642491
ENSMUSG00000020359,4.380442,4.567521984569192,5.267984468690232,5.675063979861282
ENSMUSG00000020361,7.114211,7.247090235397226,7.47312457299856,7.633081980871618
ENSMUSG00000020362,8.633896,8.782815514037777,8.64645943431293,8.620012042278912
